timestamp,desc
2015-02-28 23:54:03.510,Decide to OPEN
2015-02-28 23:54:03.526,OPEN message sent successfully
2015-02-28 23:54:04.151,Roof OPENING
2015-02-28 23:54:06.151,Roof OPENING
2015-02-28 23:54:06.651,OPEN message sent successfully
2015-02-28 23:54:06.651,Decide to OPEN
2015-02-28 23:54:07.338,Roof OPENING
2015-02-28 23:56:03.963,Roof OPENING
2015-03-01 04:52:33.411,DAWN
2015-03-01 05:36:26.210,DAY
2015-03-01 05:36:26.350,CLOSE message sent successfully
2015-03-01 05:36:26.475,Starts to close the roof (currently Opened).
2015-03-01 06:29:34.001,Problem found: Very cloudy
2015-03-01 06:29:34.017,Problem found: Very cloudy
2015-03-01 06:29:41.767,No more problem
2015-03-01 07:30:04.765,Problem found: Very cloudy
2015-03-01 07:30:04.781,Problem found: Very cloudy
2015-03-01 07:30:26.140,No more problem
2015-03-01 07:31:27.311,Problem found: Very cloudy
2015-03-01 07:31:27.326,Problem found: Very cloudy
2015-03-01 07:31:28.842,No more problem
2015-03-01 07:32:16.076,Problem found: Very cloudy
2015-03-01 07:32:16.092,Problem found: Very cloudy
2015-03-01 07:32:22.295,No more problem
2015-03-01 07:32:24.811,Problem found: Very cloudy
2015-03-01 07:32:24.826,Problem found: Very cloudy
2015-03-01 07:32:29.373,No more problem
2015-03-01 07:34:11.732,Problem found: Very cloudy
2015-03-01 07:34:11.748,Problem found: Very cloudy
2015-03-01 07:34:16.295,No more problem
2015-03-01 07:34:36.311,Problem found: Very cloudy
2015-03-01 07:34:36.326,Problem found: Very cloudy
2015-03-01 07:34:56.060,No more problem
2015-03-01 07:35:04.576,Problem found: Very cloudy
2015-03-01 07:35:04.592,Problem found: Very cloudy
2015-03-01 07:35:13.826,No more problem
2015-03-01 07:35:20.342,Problem found: Very cloudy
2015-03-01 07:35:20.357,Problem found: Very cloudy
2015-03-01 07:35:23.389,No more problem
2015-03-01 07:35:41.498,Problem found: Very cloudy
2015-03-01 07:35:41.514,Problem found: Very cloudy
2015-03-01 07:36:19.546,No more problem
2015-03-01 07:36:20.062,Problem found: Very cloudy
2015-03-01 07:36:20.077,Problem found: Very cloudy
2015-03-01 07:36:27.671,No more problem
2015-03-01 07:36:30.765,Problem found: Very cloudy
2015-03-01 07:36:30.780,Problem found: Very cloudy
2015-03-01 08:13:54.353,No more problem
2015-03-01 08:13:56.868,Problem found: Very cloudy
2015-03-01 08:13:56.884,Problem found: Very cloudy
2015-03-01 08:14:01.524,No more problem
2015-03-01 08:35:29.303,Problem found: Very cloudy
2015-03-01 08:35:29.319,Problem found: Very cloudy
2015-03-01 08:35:41.522,No more problem
2015-03-01 08:35:59.039,Problem found: Very cloudy
2015-03-01 08:35:59.055,Problem found: Very cloudy
2015-03-01 08:36:03.602,No more problem
2015-03-01 08:36:18.617,Problem found: Very cloudy
2015-03-01 08:36:18.633,Problem found: Very cloudy
2015-03-01 08:36:23.320,No more problem
2015-03-01 08:36:27.336,Problem found: Very cloudy
2015-03-01 08:36:27.352,Problem found: Very cloudy
2015-03-01 08:36:36.586,No more problem
2015-03-01 08:36:39.602,Problem found: Very cloudy
2015-03-01 08:36:39.617,Problem found: Very cloudy
2015-03-01 08:36:44.164,No more problem
2015-03-01 08:36:46.680,Problem found: Very cloudy
2015-03-01 08:36:46.695,Problem found: Very cloudy
2015-03-01 08:36:48.211,No more problem
2015-03-01 08:36:51.727,Problem found: Very cloudy
2015-03-01 08:36:51.742,Problem found: Very cloudy
2015-03-01 08:36:59.320,No more problem
2015-03-01 08:37:00.836,Problem found: Very cloudy
2015-03-01 08:37:00.852,Problem found: Very cloudy
2015-03-01 08:37:46.664,No more problem
2015-03-01 08:37:50.180,Problem found: Very cloudy
2015-03-01 08:37:50.195,Problem found: Very cloudy
2015-03-01 08:38:06.867,No more problem
2015-03-01 08:38:09.383,Problem found: Very cloudy
2015-03-01 08:38:09.398,Problem found: Very cloudy
2015-03-01 08:40:38.806,No more problem
2015-03-01 08:40:43.821,Problem found: Very cloudy
2015-03-01 08:40:43.837,Problem found: Very cloudy
2015-03-01 08:49:51.797,No more problem
2015-03-01 08:49:58.812,Problem found: Very cloudy
2015-03-01 08:49:58.828,Problem found: Very cloudy
2015-03-01 08:50:04.890,No more problem
2015-03-01 08:50:48.625,Problem found: Very cloudy
2015-03-01 08:50:48.640,Problem found: Very cloudy
2015-03-01 08:51:12.890,No more problem
2015-03-01 08:56:33.265,Problem found: Very cloudy
2015-03-01 08:56:33.280,Problem found: Very cloudy
2015-03-01 08:56:49.952,No more problem
2015-03-01 08:56:54.468,Problem found: Very cloudy
2015-03-01 08:56:54.484,Problem found: Very cloudy
2015-03-01 08:57:05.093,No more problem
2015-03-01 08:57:10.109,Problem found: Very cloudy
2015-03-01 08:57:10.124,Problem found: Very cloudy
2015-03-01 09:25:33.994,No more problem
2015-03-01 09:25:35.010,Problem found: Very cloudy
2015-03-01 09:25:35.025,Problem found: Very cloudy
2015-03-01 09:25:39.572,No more problem
2015-03-01 09:25:47.666,Problem found: Very cloudy
2015-03-01 09:25:47.682,Problem found: Very cloudy
2015-03-01 09:25:56.775,No more problem
2015-03-01 09:26:05.791,Problem found: Very cloudy
2015-03-01 09:26:05.807,Problem found: Very cloudy
2015-03-01 09:26:13.385,No more problem
2015-03-01 09:26:36.635,Problem found: Very cloudy
2015-03-01 09:26:36.650,Problem found: Very cloudy
2015-03-01 09:26:41.197,No more problem
2015-03-01 09:26:45.713,Problem found: Very cloudy
2015-03-01 09:26:45.728,Problem found: Very cloudy
2015-03-01 09:27:34.510,No more problem
2015-03-01 09:27:38.541,Problem found: Very cloudy
2015-03-01 09:27:38.541,Problem found: Very cloudy
2015-03-01 09:27:56.730,No more problem
2015-03-01 09:28:15.761,Problem found: Very cloudy
2015-03-01 09:28:15.777,Problem found: Very cloudy
2015-03-01 09:28:40.136,No more problem
2015-03-01 09:28:42.651,Problem found: Very cloudy
2015-03-01 09:28:42.667,Problem found: Very cloudy
2015-03-01 09:29:32.963,No more problem
2015-03-01 09:29:33.978,Problem found: Very cloudy
2015-03-01 09:29:33.994,Problem found: Very cloudy
2015-03-01 09:30:27.184,No more problem
"2015-03-01 09:30:30.325,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:30:30.341,Problem found: Rain (meteo station)
"2015-03-01 09:30:31.856,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:30:48.684,Problem found: Rain (meteo station)
"2015-03-01 09:31:22.044,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:31:25.091,Problem found: Rain (meteo station)
"2015-03-01 09:31:28.137,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:31:34.497,Problem found: Rain (meteo station)
"2015-03-01 09:31:40.575,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:31:42.122,Problem found: Rain (meteo station)
"2015-03-01 09:31:58.794,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:32:23.169,Problem found: Rain (meteo station)
"2015-03-01 09:51:36.082,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:51:40.644,Problem found: Rain (meteo station)
"2015-03-01 09:54:09.408,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:54:18.533,Problem found: Rain (meteo station)
"2015-03-01 09:54:21.565,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:54:36.752,Problem found: Rain (meteo station)
"2015-03-01 09:54:49.018,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:54:53.721,Problem found: Rain (meteo station)
"2015-03-01 09:57:07.611,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:57:15.206,Problem found: Rain (meteo station)
"2015-03-01 09:57:32.050,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:57:47.362,Problem found: Rain (meteo station)
"2015-03-01 09:57:50.409,""Problem found: Very cloudy, Rain (meteo station)"""
2015-03-01 09:57:59.519,Problem found: Rain (meteo station)
