timestamp,status,delta,pluie
2015-02-28 23:54:06.682,Closed,0 days 18:18:36.086000,1
2015-03-01 05:36:26.382,Opened,0 days 05:42:19.700000,1
2015-03-01 20:13:03.737,Closed,0 days 14:36:37.355000,0
2015-03-01 20:32:42.729,Opened,0 days 00:19:38.992000,0
2015-03-01 21:54:48.927,Closed,0 days 01:22:06.198000,0
2015-03-01 22:32:41.995,Opened,0 days 00:37:53.068000,0
2015-03-01 23:45:40.730,Closed,0 days 01:12:58.735000,0
2015-03-02 00:22:33.590,Opened,0 days 00:36:52.860000,0
2015-03-02 00:38:29.293,Closed,0 days 00:15:55.703000,0
2015-03-02 01:07:17.415,Opened,0 days 00:28:48.122000,0
2015-03-02 02:03:11.381,Closed,0 days 00:55:53.966000,0
2015-03-02 03:46:04.773,Opened,0 days 01:42:53.392000,0
2015-03-02 04:26:07.371,Closed,0 days 00:40:02.598000,0
2015-03-02 05:09:13.903,Opened,0 days 00:43:06.532000,0
2015-03-02 19:24:10.303,Closed,0 days 14:14:56.400000,0
2015-03-03 05:38:16.293,Opened,0 days 10:14:05.990000,0
2015-03-03 19:49:44.162,Closed,0 days 14:11:27.869000,0
2015-03-04 05:39:09.297,Opened,0 days 09:49:25.135000,0
