date,pluie,delta,skylight,gt_48hr
2015-03-01 00:03:05.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 00:08:05.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 00:13:05.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 00:18:05.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 00:23:06.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 00:28:06.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 00:33:06.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 00:38:07.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 00:43:07.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 00:48:09.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 00:53:09.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 00:58:09.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 01:03:09.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 01:08:11.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 01:13:11.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 01:18:12.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 01:23:13.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 01:28:13.000,1,0 days 00:05:00,NIGHT,False
2015-03-01 01:33:15.000,1,0 days 00:05:02,NIGHT,False
2015-03-01 01:38:15.000,1,0 days 00:05:00,NIGHT,False
2015-03-01 01:43:15.000,1,0 days 00:05:00,NIGHT,False
2015-03-01 01:48:15.000,1,0 days 00:05:00,NIGHT,False
2015-03-01 01:53:15.000,1,0 days 00:05:00,NIGHT,False
2015-03-01 01:58:16.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 02:03:17.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 02:07:27.000,1,0 days 00:04:10,NIGHT,False
2015-03-01 02:12:28.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 02:17:30.000,1,0 days 00:05:02,NIGHT,False
2015-03-01 02:22:31.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 02:27:32.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 02:32:34.000,1,0 days 00:05:02,NIGHT,False
2015-03-01 02:37:35.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 02:42:36.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 02:47:38.000,1,0 days 00:05:02,NIGHT,False
2015-03-01 02:52:32.000,1,0 days 00:04:54,NIGHT,False
2015-03-01 02:57:32.000,1,0 days 00:05:00,NIGHT,False
2015-03-01 03:02:33.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 03:07:34.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 03:12:35.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 03:17:35.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 03:22:36.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 03:27:36.000,1,0 days 00:05:00,NIGHT,False
2015-03-01 03:32:37.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 03:37:37.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 03:42:38.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 03:47:38.000,1,0 days 00:05:00,NIGHT,False
2015-03-01 03:52:39.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 03:57:39.000,1,0 days 00:05:00,NIGHT,False
2015-03-01 04:02:40.000,1,0 days 00:05:01,NIGHT,False
2015-03-01 04:07:24.000,1,0 days 00:04:44,NIGHT,False
2015-03-01 04:12:27.000,0,0 days 00:05:03,NIGHT,False
2015-03-01 04:17:28.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 04:22:29.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 04:27:30.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 04:32:30.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 04:37:31.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 04:42:33.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 04:47:33.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 04:52:35.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 04:57:35.000,0,0 days 00:05:00,DAY,False
2015-03-01 05:02:36.000,0,0 days 00:05:01,DAY,False
2015-03-01 05:07:38.000,0,0 days 00:05:02,DAY,False
2015-03-01 05:12:38.000,0,0 days 00:05:00,DAY,False
2015-03-01 05:17:40.000,0,0 days 00:05:02,DAY,False
2015-03-01 05:22:41.000,0,0 days 00:05:01,DAY,False
2015-03-01 05:27:42.000,0,0 days 00:05:01,DAY,False
2015-03-01 05:32:43.000,0,0 days 00:05:01,DAY,False
2015-03-01 05:37:44.000,0,0 days 00:05:01,DAY,False
2015-03-01 05:42:46.000,0,0 days 00:05:02,DAY,False
2015-03-01 05:47:46.000,0,0 days 00:05:00,DAY,False
2015-03-01 05:52:47.000,0,0 days 00:05:01,DAY,False
2015-03-01 05:57:48.000,0,0 days 00:05:01,DAY,False
2015-03-01 06:02:48.000,0,0 days 00:05:00,DAY,False
2015-03-01 06:07:49.000,0,0 days 00:05:01,DAY,False
2015-03-01 06:12:49.000,0,0 days 00:05:00,DAY,False
2015-03-01 06:17:50.000,0,0 days 00:05:01,DAY,False
2015-03-01 06:22:51.000,0,0 days 00:05:01,DAY,False
2015-03-01 06:27:52.000,0,0 days 00:05:01,DAY,False
2015-03-01 06:32:53.000,0,0 days 00:05:01,DAY,False
2015-03-01 06:37:54.000,0,0 days 00:05:01,DAY,False
2015-03-01 06:42:54.000,0,0 days 00:05:00,DAY,False
2015-03-01 06:47:55.000,0,0 days 00:05:01,DAY,False
2015-03-01 06:52:56.000,0,0 days 00:05:01,DAY,False
2015-03-01 06:57:56.000,0,0 days 00:05:00,DAY,False
2015-03-01 07:02:57.000,0,0 days 00:05:01,DAY,False
2015-03-01 07:07:57.000,0,0 days 00:05:00,DAY,False
2015-03-01 07:12:58.000,0,0 days 00:05:01,DAY,False
2015-03-01 07:17:58.000,0,0 days 00:05:00,DAY,False
2015-03-01 07:23:00.000,0,0 days 00:05:02,DAY,False
2015-03-01 07:28:01.000,0,0 days 00:05:01,DAY,False
2015-03-01 07:33:03.000,0,0 days 00:05:02,DAY,False
2015-03-01 07:38:04.000,0,0 days 00:05:01,DAY,False
2015-03-01 07:43:06.000,0,0 days 00:05:02,DAY,False
2015-03-01 07:48:06.000,0,0 days 00:05:00,DAY,False
2015-03-01 07:53:07.000,0,0 days 00:05:01,DAY,False
2015-03-01 07:58:09.000,0,0 days 00:05:02,DAY,False
2015-03-01 08:03:09.000,0,0 days 00:05:00,DAY,False
2015-03-01 08:08:10.000,0,0 days 00:05:01,DAY,False
2015-03-01 08:13:12.000,0,0 days 00:05:02,DAY,False
2015-03-01 08:18:12.000,0,0 days 00:05:00,DAY,False
2015-03-01 08:23:13.000,0,0 days 00:05:01,DAY,False
2015-03-01 08:28:14.000,0,0 days 00:05:01,DAY,False
2015-03-01 08:33:14.000,0,0 days 00:05:00,DAY,False
